Video title: Google en OpenAI kondigen nieuwe modellen aan — dit is de belangrijkste AI week van het jaar ｜ ✨ ...
Youtube video code: uSpTxPuIAXQ
Last modified time: 2024-12-12 20:12:50

------------------ 

[0.00 --> 1.16]  18 plus speelbewust.
[1792.14 --> 1793.84]  Dan neem je dan ook maar gewoon eventjes aan.
[1794.06 --> 1795.88]  Als er zal wel een of andere bril komen.
[1796.56 --> 1798.12]  Die Google gaat uitbrengen.
[1798.58 --> 1799.86]  Want ze laten ook nog zien met.
[1800.88 --> 1802.44]  Zo'n visuele pop-up.
[1802.56 --> 1802.86]  Die in beeld.
[1802.94 --> 1803.78]  Dus niet alleen maar stem.
[1803.90 --> 1805.42]  Maar hij krijgt ook soort van tekstballonnetjes.
[1805.50 --> 1807.00]  In zijn vizier te zien met antwoorden.
[1807.94 --> 1808.04]  Ja.
[1808.50 --> 1810.00]  Ik denk dat op zich wel interessant hoor.
[1810.04 --> 1811.50]  Want die computer use van Antropic.
[1811.64 --> 1812.78]  Dat ze je computer gaan gebruiken.
[1812.86 --> 1813.84]  Wat Gemini nu ook kan.
[1814.92 --> 1817.70]  Daarin gaat Antropic dan Google gebruiken.
[1817.84 --> 1818.46]  Op jouw computer.
[1819.20 --> 1820.62]  Dus die dame die dit videotje doet.
[1820.62 --> 1821.30]  Die vraagt dan van.
[1821.34 --> 1823.72]  Ik ben op zoek naar voor mij een leuke plek ergens.
[1823.86 --> 1825.00]  En dan gaat hij naar Google.com.
[1825.08 --> 1826.26]  En dan die leuke plek opzoeken.
[1826.76 --> 1829.88]  Waarbij Antropic eigenlijk ook al meteen de handdoek in de ring gooit.
[1829.98 --> 1830.22]  En zegt.
[1830.92 --> 1832.40]  Antropic gaat nooit een search engine bouwen.
[1832.50 --> 1833.64]  Dus we gebruiken gewoon Google.
[1834.04 --> 1835.04]  En misschien ook wel zegt.
[1835.48 --> 1836.18]  Het is niet erg.
[1836.60 --> 1838.46]  Dat wij voor deze taken Google gebruiken.
[1838.66 --> 1839.04]  Maar ja goed.
[1839.40 --> 1839.60]  Google.
[1839.76 --> 1841.52]  De lijntjes zijn een stuk korter bij Google.
[1841.72 --> 1843.44]  Wat betreft integratie potentieel.
[1843.70 --> 1844.66]  Nou je hebt het er al over.
[1844.78 --> 1847.00]  Dit is inderdaad wat zij noemen Project Mariner.
[1847.00 --> 1849.88]  Een Chrome extensie die je browser kan besturen.
[1850.00 --> 1851.74]  Het is een klein knopje bovenin Chrome.
[1851.88 --> 1853.32]  Die een soort zijbalk opent.
[1854.00 --> 1857.84]  En waar inderdaad Antropic experimenteert met computer use.
[1858.00 --> 1859.76]  En waar open hij in met operator.
[1860.10 --> 1862.48]  Dus systemen die je scherm zien.
[1862.62 --> 1864.50]  En dan ook je muis overnemen.
[1865.04 --> 1868.80]  Heeft Google dit nu voor het eerst gedemonstreerd met Project Mariner.
[1868.80 --> 1872.56]  En ze lieten allerlei live demonstraties zien.
[1872.66 --> 1875.66]  Dit is niet beschikbaar voor breder publiek.
[1876.20 --> 1880.92]  Maar ze lieten in demonstraties zien hoe een AI agent zelfstandig door een webshop gaat.
[1881.06 --> 1882.12]  Inlogt op een gebruikersaccount.
[1882.20 --> 1883.20]  Winkelwagentje vult.
[1884.00 --> 1889.22]  En zelfs vervangende producten koos toen een bepaald item niet op voorraad was.
[1889.90 --> 1893.22]  En die dit gewoon inderdaad aan het doen is in Chrome.
[1893.40 --> 1897.72]  Dus dan heb je heel veel niveaus in die hele stack hebben we nu gehad.
[1897.72 --> 1900.36]  Op hardware niveau hebben we het gehad.
[1900.44 --> 1901.26]  Over Android.
[1901.86 --> 1903.20]  Over brillen.
[1904.12 --> 1906.88]  En gewoon op je gewone computer.
[1908.28 --> 1909.62]  Want dat heeft Google natuurlijk ook.
[1909.82 --> 1910.80]  Ik moet niet vergeten.
[1910.90 --> 1913.28]  Chromebooks zijn ook een onwijs grote categorie.
[1913.30 --> 1913.82]  Zeker weten.
[1914.16 --> 1916.84]  Dan heb je het niveau van het operating systeem.
[1916.90 --> 1918.72]  Wat ze dan op mobiel wel...
[1919.24 --> 1919.58]  Ownen.
[1919.70 --> 1920.50]  Ja, wel ownen.
[1921.20 --> 1923.18]  En dan heb je het browser niveau.
[1923.76 --> 1926.58]  Met Chrome ook de grootste browser.
[1926.58 --> 1928.30]  En dan...
[1928.30 --> 1931.42]  Ja, lange tijd liep dat gewoon de hele tijd achter qua model.
[1931.90 --> 1933.58]  Dan was het een soort van...
[1934.40 --> 1937.62]  Een soort van Albert Heijn huismerkachtig ding.
[1937.72 --> 1939.42]  Het hobbelt achter de aanmerken aan.
[1939.82 --> 1942.00]  Het kan hetzelfde voor iets goedkoper.
[1942.10 --> 1943.78]  Maar er is weinig om enthousiast over te worden.
[1944.32 --> 1945.42]  En wat zij nu lanceren.
[1945.46 --> 1949.52]  Want we hebben nu nog steeds maar een heel klein deel besproken van wat er allemaal uitkomt.
[1949.52 --> 1951.94]  We hebben vijf afleveringen nodig van deze podcast hiervoor.
[1951.94 --> 1954.78]  En zelfs in dat model is het nu...
[1954.78 --> 1957.36]  Want wat kunnen ze nog meer behalve stemmen genereren?
[1957.58 --> 1959.02]  Hij kan ook plaatjes genereren.
[1959.20 --> 1961.32]  Je kan vragen stellen om plaatjes te bewerken.
[1962.06 --> 1962.94]  Hij kan...
[1963.54 --> 1964.94]  Wat mis ik nou nog allemaal?
[1965.74 --> 1966.66]  In die...
[1966.66 --> 1970.26]  Ze hebben een soort van prompt gallery gemaakt met allemaal dingen die je ermee kan doen.
[1970.26 --> 1973.70]  Hij kan op Google Maps dingen plotten.
[1974.16 --> 1975.10]  Je kan...
[1975.10 --> 1977.10]  Het is echt ongelooflijk hoeveel...
[1977.10 --> 1979.42]  Je kan plaatjes herkennen.
[1979.52 --> 1980.50]  Dat vond ik ook nog best wel grappig.
[1980.58 --> 1985.02]  Dus de basis die je nodig heeft om die bril te kunnen dragen.
[1985.10 --> 1985.82]  En dan te herkennen.
[1986.00 --> 1988.86]  Oké, ik zie nu een verkeersbord en dit staat erop.
[1989.48 --> 1991.10]  Kun je dus ook...
[1992.56 --> 1997.30]  Je kunt die videoanalyse en die plaatjesanalyse...
[1997.30 --> 1998.28]  Kun je dus ook...
[1998.28 --> 1999.16]  Dat je bijvoorbeeld...
[1999.16 --> 2001.04]  Als programmeur is dat handig.
[2001.14 --> 2002.78]  Dat je dingen kan labelen.
[2002.96 --> 2004.04]  Dus dat je een plaatje erin kunt.
[2004.10 --> 2004.90]  En dat die dan zegt...
[2004.90 --> 2007.46]  Waar op de foto staat...
[2007.46 --> 2009.16]  Weet ik veel...
[2009.16 --> 2009.86]  Een planten...
[2009.86 --> 2010.68]  Of een bloemenpot.
[2011.34 --> 2013.56]  En dan kan hij dus zo'n hok door hem heen tekenen.
[2013.70 --> 2015.44]  En dat er dan bloempot boven komt te staan.
[2015.56 --> 2017.58]  En dan ook daarachter schaduw van de bloempot.
[2017.94 --> 2019.22]  En dat is natuurlijk weer nodig.
[2019.22 --> 2022.02]  Om dit als API in je eigen apps te kunnen gebruiken.
[2022.14 --> 2023.22]  Waardoor je dingen kan bouwen als...
[2023.90 --> 2025.32]  Waar heb ik mijn telefoon gelaten?
[2025.32 --> 2028.54]  En dat je dan telefoon kan zien in een foto.
[2028.62 --> 2030.38]  En dat je dat als developer ook kan gebruiken.
[2030.48 --> 2032.24]  Om apps te maken waarmee je...
[2032.24 --> 2033.96]  Bewust bent van je omgeving.
[2034.18 --> 2035.58]  Ja en ik denk dat er...
[2035.58 --> 2036.60]  Veel van deze dingen...
[2036.60 --> 2038.32]  Want ik hoor nu mensen bijna roepen...
[2038.32 --> 2040.04]  Ja maar het komt toch al met Google Lens.
[2040.42 --> 2042.24]  Kijk het punt is...
[2042.24 --> 2043.92]  Al dat waren allemaal losse modellen.
[2044.44 --> 2045.74]  Losse teams binnen Google.
[2046.18 --> 2048.36]  En met Google Lens kon je al wijzen naar spijkerbroeken.
[2048.36 --> 2049.78]  En dan zei hij dat is die en die Levi's.
[2049.84 --> 2050.52]  En dan kon je hem bestellen.
[2050.62 --> 2051.66]  Dat kan al een aantal jaar.
[2051.88 --> 2052.16]  Cool.
[2052.64 --> 2055.08]  En vakjes tekenen op dingen kon ook al een aantal jaar.
[2055.32 --> 2056.16]  Losse teams.
[2056.50 --> 2057.14]  Losse modellen.
[2057.54 --> 2059.24]  En nu zit overal Gemini achter.
[2059.76 --> 2060.96]  En dat is ontzettend krachtig.
[2061.02 --> 2064.68]  Omdat dat model dan ook ineens allerlei bijcapaciteiten krijgt.
[2064.74 --> 2065.86]  Die is soort van gratis.
[2065.94 --> 2066.60]  Tussen air quotes.
[2066.76 --> 2067.92]  Want er zit energieprobleem achter.
[2068.08 --> 2068.32]  Prima.
[2068.76 --> 2070.08]  Maar die zitten er ook in.
[2070.56 --> 2071.38]  En dat is ook...
[2071.38 --> 2073.18]  Ik maak dit punt ook vaak naar mensen.
[2073.26 --> 2073.62]  Dat ik zeg...
[2073.62 --> 2076.58]  Als je straks synthetische collega's in jouw teams calls hebt zitten.
[2077.08 --> 2078.28]  Die en een gezicht hebben.
[2078.34 --> 2079.40]  Want hij kan gezichten maken.
[2079.82 --> 2080.58]  En praten.
[2080.64 --> 2081.46]  Want hij kan ook audio.
[2082.04 --> 2083.38]  En naar je luisteren.
[2083.42 --> 2084.34]  Want hij kan ook luisteren.
[2084.68 --> 2086.22]  En dat je ook even zegt...
[2086.22 --> 2088.30]  Beste notulist die eigenlijk draait op Gemini.
[2089.10 --> 2092.80]  Die ene theorie over hoe je management eigenlijk het best kan toepassen uit de jaren negentig.
[2092.88 --> 2093.98]  Dat weet dat ding ook.
[2094.22 --> 2095.72]  Omdat dat er ook allemaal achter zit.
[2095.72 --> 2102.60]  En ik denk dat we eigenlijk nog nooit echt oog in oog hebben gestaan met zo'n soort manesje van alle super Wikipedia intelligentie.
[2102.66 --> 2104.36]  Die trouwens ook nog liedjes kan zingen.
[2104.92 --> 2106.02]  Het is heel wauws.
[2106.22 --> 2108.04]  En nu komen heel veel lijntjes.
[2108.14 --> 2109.96]  Ik denk dat wij daarom allebei...
[2109.96 --> 2113.14]  Want ik ben eigenlijk wel heel blij dat het jou nog lukt om hierover te praten.
[2113.24 --> 2115.08]  Want ik loop een beetje vast merk ik ook.
[2115.12 --> 2116.60]  Omdat het zo allesomvattend is.
[2116.74 --> 2119.08]  Ja en ik had echt weer...
[2119.08 --> 2121.08]  Ik zat gisteravond allemaal een beetje door te nemen.
[2121.18 --> 2122.04]  En YouTube video's te kijken.
[2122.16 --> 2123.44]  En vanochtend weer te lezen en te doen.
[2123.44 --> 2125.16]  En ik merkte gewoon van...
[2125.16 --> 2128.34]  Ik ben daar weer een soort essentieel overweldigd.
[2128.44 --> 2130.44]  Wat veel mensen voelen nadat ik met ze praat.
[2131.06 --> 2132.40]  Dat ik het nu zelf weer heb.
[2132.48 --> 2134.44]  Dat ik denk...
[2134.44 --> 2137.44]  Ik probeer ook mezelf weer even uit te dagen van...
[2138.48 --> 2141.38]  Ja we hebben het in stukjes allemaal wel gezien door de jaren heen.
[2141.72 --> 2143.90]  We hebben het in stukjes gezien bij concurrenten.
[2144.34 --> 2150.58]  Maar we hebben het nog niet allemaal in één groot super ding gezien vanuit de grote Google.
[2150.58 --> 2153.58]  En ik denk dat in dat opzicht...
[2153.58 --> 2155.92]  In de inhoudrace lopen ze nu on par.
[2156.04 --> 2158.36]  Met een paar plekken waarop ze zelfs voorbij zijn gegaan.
[2158.46 --> 2160.58]  Met een vrij klein snel betaalbaar.
[2161.18 --> 2162.58]  In ieder geval qua computerkracht model.
[2164.00 --> 2168.20]  En daarachter ook nog eens een potentiële bestaande markt hebben.
[2168.58 --> 2169.08]  En ja...
[2169.08 --> 2170.30]  Lock in in de negatieve zin.
[2170.42 --> 2172.84]  Of enthousiast gebruik van gebruikers in de positieve zin.
[2172.84 --> 2175.14]  Waardoor ze ook dit kunnen gaan uitrollen.
[2175.82 --> 2176.84]  En ja...
[2176.84 --> 2178.18]  Ik denk daarin...
[2178.18 --> 2180.10]  Ik ga ervan uit...
[2180.10 --> 2183.18]  Dat er toch wel wat zenuwen zijn nu.
[2183.40 --> 2186.72]  Dat er een andere sfeer hangt bij Entropic en bij OpenAI.
[2187.60 --> 2189.46]  Ik bedoel die kijken er natuurlijk ook wel vooruit.
[2189.56 --> 2192.38]  Die hebben ook hun contacten in de industrie om te zien waar het naartoe gaat.
[2192.82 --> 2194.84]  Maar ik zou echt...
[2194.84 --> 2198.60]  Een all ends on super meeting doen nu.
[2198.60 --> 2202.92]  Van hoe gaan wij hier in ons nu goed bedrijven tot een half jaar geleden.
[2203.02 --> 2206.84]  Maar zo voel ik dat dan nu als de persoon die niet in die kamer zit.
[2207.08 --> 2207.44]  Maar toch.
[2207.58 --> 2211.06]  Dit is denk ik vergelijkbaar met ChatGPT.
[2211.58 --> 2212.54]  Voordat ChatGPT...
[2212.54 --> 2214.38]  Of met OpenAI voordat ChatGPT uitkwam.
[2214.50 --> 2217.68]  In de zin dat de manier waarop je nu bij al deze tooling kan komen.
[2217.84 --> 2219.82]  Is best wel voor developers.
[2220.38 --> 2223.28]  Dus die manier waarop die AI studio bijvoorbeeld werkt.
[2223.48 --> 2226.16]  Is dit gaat mijn moeder niet doen.
[2226.16 --> 2229.56]  Want daarvoor is dit allemaal niet intuïtief genoeg.
[2229.70 --> 2233.14]  En zit het niet geïntegreerd in de tools die de meeste mensen iedere dag gebruiken.
[2233.74 --> 2237.34]  En het zijn allerlei hintjes naar hoe het gaat zijn.
[2237.46 --> 2240.06]  Er zijn video's waarbij bijvoorbeeld Excel.
[2240.54 --> 2242.14]  Of de Google Sheets versie bedoel ik.
[2242.50 --> 2243.58]  Die Google Drive versie.
[2243.66 --> 2244.50]  Google Sheets heet dat.
[2244.70 --> 2245.36]  De Excel van Google.
[2245.50 --> 2246.04]  Volgens mij wel ja.
[2246.18 --> 2247.90]  Waarbij ze een tabel maken.
[2248.08 --> 2248.80]  Waarbij die...
[2248.80 --> 2249.68]  Hoe noemen ze het?
[2249.76 --> 2250.12]  Mariner.
[2250.36 --> 2252.82]  Die agentic AI.
[2252.82 --> 2255.28]  Die dus je computer voor je bedient.
[2255.28 --> 2257.00]  Die in feite die...
[2257.00 --> 2262.14]  Die gebruiker stelt een aantal vragen over hoe die spreadsheet gemaakt moet worden.
[2262.26 --> 2263.16]  En die computer doet dat.
[2263.44 --> 2265.24]  Wat mensen hoopten dat ProPilot kon.
[2265.60 --> 2266.20]  Kan dit nu.
[2266.28 --> 2266.52]  Precies.
[2267.22 --> 2270.22]  Maar het zit nog niet nu geïntegreerd in.
[2270.38 --> 2270.56]  Nee.
[2270.56 --> 2274.40]  Al die Google soort van endpoints.
[2274.60 --> 2276.42]  De punten waar de gebruiker...
[2276.42 --> 2278.28]  De apps die Google gebruikt.
[2278.28 --> 2278.98]  Ja, maar ik denk ook...
[2278.98 --> 2280.64]  Daar zit dit allemaal nog niet in.
[2280.72 --> 2282.90]  En het is voor ons makkelijk om te zien...
[2282.90 --> 2284.20]  Hoe gaat dit eruit zien.
[2284.30 --> 2287.36]  Dat je op Android de assistent kan gebruiken.
[2287.50 --> 2288.08]  En die scherm...
[2288.08 --> 2288.92]  Dat dat ding weet.
[2288.96 --> 2289.52]  Dat die scherm kan zien.
[2289.58 --> 2290.50]  Dat die gaat zeggen tegen...
[2290.50 --> 2291.36]  Hou even je camera omhoog.
[2291.44 --> 2292.74]  Dan kan ik zien wat jij ook ziet.
[2292.84 --> 2295.62]  Op het moment dat je iets wil weten over je omgeving.
[2295.84 --> 2297.70]  Of wij kunnen ons helemaal nu...
[2297.96 --> 2300.62]  Qua fantasie kunnen wij ons voorstellen...
[2300.62 --> 2302.48]  Hoe dit in software geïntegreerd gaat worden.
[2302.58 --> 2304.26]  Maar daar zijn we nog niet.
[2304.36 --> 2306.70]  Hoe lang denk je dat dat gaat duren bij Google?
[2306.96 --> 2309.58]  Nou, ik neem vaak het voorbeeld...
[2309.58 --> 2310.88]  Als ik een lezing geef...
[2310.88 --> 2311.98]  Laat ik vaak video's zien.
[2312.34 --> 2314.84]  En in die video's heb ik vaak de subtitles aanstaan.
[2315.22 --> 2316.98]  Die subtitles die kloppen heel vaak niet.
[2317.24 --> 2319.44]  Dan krijg ik daar natuurlijk meteen commentaar op.
[2319.70 --> 2321.22]  Van je staat hier een verhaal te vertellen...
[2321.22 --> 2322.20]  Over alles wordt anders.
[2322.44 --> 2323.56]  Maar die is zeker een nieuw ding.
[2323.96 --> 2326.18]  En die Engelse ondertiteling staan allemaal verkeerde woorden.
[2326.70 --> 2327.86]  Dus ik benoem dat natuurlijk.
[2328.02 --> 2328.66]  Dat ik zeg...
[2328.66 --> 2329.82]  Nou, hebben jullie net die video gezien.
[2329.88 --> 2331.00]  Die was heel erg indrukwekkend.
[2331.10 --> 2332.68]  Maar jullie hebben natuurlijk ook mee zitten lezen.
[2333.16 --> 2333.98]  Dat ging gewoon nog mis.
[2333.98 --> 2335.02]  Zelfs in het Engels.
[2335.50 --> 2336.86]  Dat komt omdat er op YouTube...
[2336.86 --> 2337.86]  Het zal zijn...
[2337.86 --> 2340.02]  100 uur video per seconde geüpload wordt.
[2340.46 --> 2341.86]  Daar draait een taalmodelletje achter.
[2341.96 --> 2344.04]  Dat is helemaal nog niet zo'n ding als wat in Gemini...
[2344.04 --> 2344.96]  Of een transformermodel.
[2345.36 --> 2346.54]  Want die moet...
[2346.54 --> 2348.00]  Dat is waarschijnlijk zelfs een chip geworden...
[2348.00 --> 2349.38]  Die ze inmiddels tot chip gebakken hebben.
[2349.44 --> 2350.56]  Want ze konden het niet bijhouden.
[2351.06 --> 2353.46]  Dat duurt wel even voordat jij je infrastructuur...
[2353.46 --> 2355.22]  Ten eerste voordat je het vervangt.
[2355.26 --> 2356.18]  Want je hebt nog iets draaien.
[2356.24 --> 2357.78]  Dan moet je ook nog economisch afschrijven.
[2358.70 --> 2359.66]  En ten tweede...
[2359.66 --> 2361.72]  Dat je dit kunt toepassen in de breedte.
[2361.72 --> 2362.00]  Ja.
[2362.18 --> 2363.92]  Want we zitten nu weer in de laatste week...
[2363.92 --> 2365.10]  Met miljarden gebruikers bedoel je.
[2365.16 --> 2365.42]  Exact.
[2365.54 --> 2366.74]  Want de laatste weken is...
[2366.74 --> 2369.44]  En Tropic website klapte de hele tijd uit.
[2369.68 --> 2369.94]  Zeg maar.
[2370.02 --> 2371.66]  En dat zijn bedrijven die hebben diepe zakken.
[2371.82 --> 2372.56]  Emmeron zit erin.
[2372.56 --> 2374.24]  Zora ging aan en moest gelijk weer uitgezet worden.
[2374.32 --> 2375.18]  Gaan ze straks over hebben.
[2375.30 --> 2375.44]  Ja.
[2375.54 --> 2376.34]  Die wisten dat toch.
[2376.40 --> 2376.88]  Weet je al goed.
[2377.00 --> 2380.34]  Aan alle kanten piept en kraakt het bij al die AI platforms.
[2380.56 --> 2383.28]  Dat zegt ook iets over trouwens hoe erg de adoptie is.
[2383.40 --> 2383.72]  Namelijk gigantisch.
[2384.34 --> 2386.32]  Want ik geloof niet dat er hele slechte datacenters achter zitten.
[2386.32 --> 2391.18]  Ik geloof dat zelfs in hun meest optimistische scenario's niet verwachten dat het eruit komt.
[2391.66 --> 2393.10]  Of dat het zo uitkomt.
[2393.70 --> 2395.02]  Maar dat laat wel wat zien.
[2396.08 --> 2398.18]  Nou, nog leuker, concreter voorbeeld misschien.
[2398.56 --> 2399.62]  Ik had het gisteren met iemand over.
[2399.74 --> 2403.38]  En die zei, waarom moet ik trouwens als ik die modellen kies steeds voor België of Zweden kiezen?
[2403.96 --> 2405.92]  Ja, alles is op.
[2406.92 --> 2407.28]  Zeg maar.
[2407.46 --> 2410.56]  Als je in Europa een taalmodel wil draaien bij Microsoft of bij Google.
[2410.70 --> 2413.48]  Dan heb je in de drop-down allemaal uitgegrijsde landen staan.
[2413.48 --> 2416.28]  En Zweden één en België.
[2416.64 --> 2417.24]  En dat komt gewoon...
[2417.24 --> 2418.20]  Die zijn nog over, bedoel je?
[2418.30 --> 2426.02]  Ja, en de mist natuurlijk, dat begrijp ik bij heel veel mensen, het besef dat er wel ergens een datacenter moet zijn met die Nvidia kaarten.
[2426.10 --> 2427.68]  Want over het algemeen zijn dat het nog steeds.
[2428.26 --> 2429.88]  En als die op zijn, dan...
[2429.88 --> 2430.70]  En het is op.
[2430.84 --> 2431.52]  De pizza is op.
[2431.82 --> 2432.82]  Het houdt hier gewoon op.
[2432.82 --> 2435.22]  Er zit een hele fysieke realiteit aan de cloud, zeg maar.
[2435.46 --> 2438.78]  Dus jouw vraag, hoe zit het met uitrollen?
[2439.10 --> 2446.06]  Kijk, ik voel ook wel een beetje aankomen, want die computer use, dus de agentic AI waarin een agent jouw computer overneemt.
[2446.44 --> 2453.66]  En dan is daarbij het idee denk ik ook dat Google gaat zeggen, joh, je kan een duplicaat van jouw Chromebook draaien in de cloud, zodat die ook s'nachts doorgaan terwijl je laptop dicht is.
[2454.30 --> 2456.22]  Ook daar zijn ze weer uniek geëquipeerd.
[2456.32 --> 2457.32]  Man, man, man, man, man.
[2457.38 --> 2457.82]  Niet normaal.
[2457.94 --> 2458.80]  Aan de Google-kopen.
[2459.14 --> 2459.80]  Ja, nou ja.
[2460.20 --> 2462.46]  Dit is geen advies, maar het gaat goed met Google.
[2462.46 --> 2467.46]  Dat ik me ook kan voorstellen dat er best wel wat...
[2468.12 --> 2474.46]  Kijk, de media, zeg maar gewoon, of mensen die het leuk vinden als artikelen gelezen worden, het...
[2475.50 --> 2481.02]  Gemini bestelt cruise van 3000 euro voor vrouwen die niet eens weten dat ze Gemini geïnstalleerd had.
[2481.12 --> 2482.56]  Ja, dit gaat allemaal komen.
[2482.72 --> 2485.18]  Dus agents die heel veel geld gaan uitgeven.
[2485.32 --> 2486.74]  Agents die dingen gaan posten namens mensen.
[2486.74 --> 2489.68]  Ja, ik bedoel te zeggen, dit gaat heel vaak mis, deze dingen.
[2489.76 --> 2492.70]  En er gaan allerlei sexy, juicy verhalen uitkomen.
[2492.80 --> 2498.16]  Luister, toen ze geprobeerden Gemini in Google te doen, was binnen twaalf uur pizza met benzine erop.
[2498.40 --> 2501.02]  Iedereen ging los, want AI is dom en hallucineerd.
[2501.16 --> 2503.04]  En Google, oeps, oeps, oeps, sorry, sorry, sorry, sorry.
[2503.12 --> 2504.68]  Nu rollen ze gewoon nog verder, maar goed.
[2506.28 --> 2510.02]  Er zitten een aantal vertragende factoren op de uitrol van deze technologie.
[2510.52 --> 2512.08]  Het is nog best wel alpha, beta.
[2512.08 --> 2514.78]  Het woord experimental staat twintig keer op de websites van Gemini.
[2514.78 --> 2517.48]  Alleen kleine groepjes mogen erbij, et cetera, et cetera, et cetera.
[2518.04 --> 2519.34]  Maar dit laat wel zien.
[2519.82 --> 2523.60]  En ik moet zeggen, ik heb ook een beetje het idee gekregen bij Google inmiddels.
[2523.96 --> 2528.06]  Dat ze van een achterstand, waarin ze simpelweg een beetje de boot misten.
[2528.34 --> 2530.20]  Omdat openen jij er met hun research vandoor ging.
[2530.34 --> 2532.24]  Net als met Xerox en Apple is tijdens.
[2532.52 --> 2534.40]  Dat Google inmiddels weer bij is.
[2534.92 --> 2538.50]  Maar ook, dit is een aanname van mij, zoiets heeft van.
[2539.36 --> 2542.50]  Laat eerst die andere partij het maar een beetje proberen.
[2542.50 --> 2545.00]  Met computer use en zo.
[2545.08 --> 2546.96]  En als we voelen dat de markt dat wel ziet zitten.
[2547.46 --> 2549.02]  En dat zijn niet hele grote controversies.
[2549.14 --> 2551.42]  Dan komen wij daar wel als derden een beetje achteraan.
[2551.52 --> 2555.02]  Alsof ze een soort van een andere cabaretier hele grove grappen laten testen op het podium.
[2555.50 --> 2558.56]  En als het publiek die grappen wel kan hebben, gaan ze ze ook opnemen in hun line-up.
[2559.00 --> 2561.70]  Want wat we tot nu toe allemaal geïntroduceerd hebben gekregen.
[2561.96 --> 2565.44]  Op die coole audio feature na met die kuchjes en die lachjes en die emotie erin.
[2565.74 --> 2567.46]  Er is niets nieuws onder de zon.
[2568.00 --> 2568.96]  Maar het is wel Google.
[2568.96 --> 2572.44]  En Google doet mee en Google heeft al die connecties.
[2572.96 --> 2574.82]  En dat vind ik wel een groot ding.
[2574.90 --> 2578.58]  En ik denk dat wij allebei best wel goed aanvoelen nu.
[2578.72 --> 2582.00]  Van ja maar wacht even, als we die linkjes allemaal gaan leggen nu.
[2582.52 --> 2584.48]  Dan zitten ze best goed.
[2584.62 --> 2586.06]  Ja het moet nog wel even ingebouwd worden.
[2586.06 --> 2593.14]  Google is van een bedrijf wat ooit heel snel nieuwe features uitbracht.
[2593.22 --> 2595.60]  In Google Maps, in Google Foto's, in Gmail.
[2596.14 --> 2600.06]  Verwoorden tot een bijna Salesforce, Microsoft-esque bedrijf.
[2600.72 --> 2603.46]  Waarbij interfaces totaal clutterd zijn.
[2603.64 --> 2606.90]  En het heel lang duurt voordat nieuwe features uitgerold worden.
[2606.98 --> 2610.06]  In die apps die door honderden miljoenen mensen gebruikt worden.
[2610.06 --> 2617.26]  Ik moet nog maar even zien hoe dit in Android, in Gmail, in Google Drive allemaal geïntegreerd wordt.
[2617.50 --> 2622.12]  Het bedrijf heeft gewoon de afgelopen jaren niet laten zien dat ze echt kunnen executen daarop.
[2622.16 --> 2627.44]  Wat Microsoft op dit moment eerlijk gezegd sneller doet in Windows dan Google.
[2627.70 --> 2629.08]  Dat is mijn enige punt van zorg.
[2629.20 --> 2631.42]  Dat er dus een backend onder zit die fantastisch is.
[2631.60 --> 2635.36]  Maar om gewoon een softwareorganisatie te hebben die niks kan opleveren.
[2635.56 --> 2638.00]  Maar goed die backend is niet bedoeld voor Google developers alleen.
[2638.00 --> 2646.46]  Dus ik kan me voorstellen als jij nu, zullen er inmiddels in Nederland zijn, minimaal 10 bedrijven die synthetische podcast aanbieden als product.
[2647.04 --> 2650.08]  Als die nu naar hun pipeline gaan en dat dingetje veranderen in Gmail 2.
[2650.48 --> 2652.72]  Dan komen daar ineens veel betere podcasts uit.
[2652.74 --> 2654.66]  Ja, maar we hebben het hier nu de hele tijd over.
[2654.86 --> 2656.86]  Omdat Google dus een unieke speler is.
[2656.96 --> 2661.32]  Omdat zij zoveel verschillende elementen in één bedrijf hebben.
[2661.48 --> 2664.06]  Dus ook Google Maps en ook toegang tot de YouTube database.
[2664.18 --> 2667.10]  Dat hebben we nog niet eens over toegang tot het opverenigingssysteem van de gebruikers.
[2667.10 --> 2668.22]  Ze hebben zo'n potentie.
[2668.42 --> 2669.68]  Wanneer gaan ze oogsten bedoel jij?
[2669.84 --> 2671.62]  Ja, het is echt tering.
[2672.00 --> 2672.88]  Het duurt zo lang.
[2672.92 --> 2674.84]  Zonder dat ze niet oogsten op hun netwerk.
[2674.90 --> 2678.68]  Ja, dit is de soort van negatieve case voor het aandeel Google.
[2678.94 --> 2682.86]  Dat ze wel, dat ze dit, ze hebben nu enorm doorgeschakeld.
[2682.86 --> 2689.08]  Om die serieuze speler in AI te worden die ze al jaren willen zijn.
[2689.20 --> 2690.60]  Nog voordat JetTip die uitkwam.
[2691.46 --> 2693.16]  Maar ik heb gewoon nog geen bewijs.
[2693.30 --> 2696.22]  Hoe Gemini werkt op Android is zo kut.
[2696.60 --> 2701.66]  Zeg maar, het heeft meer dan een jaar geduurd voordat je een timer kon instellen via Gemini.
[2701.66 --> 2701.94]  Ja, zeker.
[2701.94 --> 2706.70]  Het is gewoon moeilijk om te begrijpen voor een eindgebruiker.
[2707.20 --> 2708.70]  Dat je zulke vette shit kan doen.
[2708.82 --> 2712.16]  Dat je je live video kan streamen in zo'n playground.
