Video title: Economen denken dat je niet werkloos wordt door AI ｜ ✨ Poki
Youtube video code: CWw8nZ8rI9s
Last modified time: 2024-04-09 12:28:32

------------------ 

[0.00 --> 10.00]  MUZIEK
[2246.76 --> 2250.96]  om MRI's of ander soort medische foto's te bestuderen...
[2250.96 --> 2254.76]  en te kijken wat daarop te zien is en die te analyseren.
[2254.76 --> 2260.66]  Maar het is maar één van de, laten we zeggen, 30 of 40 taken die een radioloog heeft.
[2261.46 --> 2267.76]  Je kunt je voorstellen dat als er een AI is die dit inderdaad beter kan dan een radioloog...
[2268.44 --> 2271.76]  die dus bijvoorbeeld iets ziet wat je met mensen ogen niet kunt zien...
[2273.34 --> 2279.76]  dat het wel heel belangrijk is dat er een radioloog bijvoorbeeld dubbelcheckt of het wel klopt...
[2279.76 --> 2291.08]  of dat een radioloog blijft praten met collega's om te kijken of het oordeel van de AI wel deugt.
[2291.30 --> 2295.80]  Ja, dus je zegt eigenlijk banen worden niet vervangen door AI, maar taken worden vervangen door AI.
[2295.96 --> 2301.76]  Maar als nou een heel groot deel van de taken toch vervangen kunnen worden door AI...
[2301.76 --> 2304.64]  is dan niet de conclusie onder de streep dat toch de baan vervangen wordt?
[2304.64 --> 2313.62]  Ja, tuurlijk. Het zou natuurlijk kunnen dat er banen bestaan die uit taken bestaan...
[2313.62 --> 2315.70]  die voor een heel groot deel te vervangen zijn.
[2316.40 --> 2321.26]  En dat is natuurlijk ook wat je ziet gebeuren in de geschiedenis van de technologie, zeg maar.
[2321.40 --> 2323.64]  Dat er verdwijnen banen door automatisering.
[2324.30 --> 2327.68]  En dat is ook op een soort individueel niveau heel erg vervelend.
[2327.96 --> 2332.64]  Maar als je het met de macrobril bekijkt, als je gewoon dus kijkt van nou wat doet het nou met de economie...
[2332.64 --> 2338.06]  dan gebeurt nooit wat er voorspeld wordt, namelijk dat er een soort massowerkloosheid plaatsvindt.
[2338.06 --> 2340.54]  En er wordt wel eens gezegd, deze keer is het anders.
[2340.76 --> 2347.60]  Want met AI is er iets fundamenteel anders dan bij die vorige soort van revoluties van automatisering.
[2348.10 --> 2350.64]  Daar komt het niet uit, maar het is deze keer toch echt anders.
[2351.40 --> 2354.34]  Wat vind je van mensen die dat claimen?
[2354.62 --> 2360.86]  Ja, allereerst is het wel grappig om te zeggen dat het elke keer anders is, volgens de mensen die het zeggen.
[2360.86 --> 2366.70]  Dat werd tien jaar geleden ook geclaimed door de mensen die zeiden dat de robots voor onze banen zouden komen.
[2366.82 --> 2368.54]  Die zeiden ook, deze keer is het anders.
[2369.14 --> 2372.90]  Onder andere toenmalig minister van Sociale Zaken, Lodelijk Asscher.
[2373.42 --> 2375.86]  Maar er is wel iets anders aan kunstmatige intelligentie.
[2376.52 --> 2381.46]  In de zin van dat het potentieel een ander type taken kan vervangen.
[2381.46 --> 2394.32]  Dus vooralsnog was het zo dat technologie en automatisering taken kon vervangen die je perfect in regeltjes kon vatten.
[2394.60 --> 2397.40]  Dus de zogenoemde rule-based tasks.
[2398.12 --> 2405.98]  Dus dan moet je denken aan fabriekswerk of bepaalde vormen van administratie of financiële administratie.
[2405.98 --> 2409.26]  Excel is bijvoorbeeld een heel goed voorbeeld.
[2409.88 --> 2418.90]  Dat is een technologie die in staat is om bepaalde handelingen die je perfect uit kan schrijven, kan automatiseren.
[2418.90 --> 2425.22]  Dat is met AI anders in de zin van dat AI in staat is.
[2425.44 --> 2433.06]  Of in ieder geval dat is de potentie van AI om creatieve en cognitieve taken te automatiseren.
[2433.06 --> 2440.50]  Dat betekent waarschijnlijk dat het effect op de arbeidsmarkt anders is dan dat we tot nu toe hebben gezien.
[2441.24 --> 2446.98]  Namelijk dat er dus taken aan laten we zeggen de onderkant van de arbeidsmarkt vooral werden vervangen.
[2447.80 --> 2448.82]  En deze keer?
[2449.16 --> 2458.78]  En deze keer hebben we een technologie die in staat is om taken te automatiseren die meer aan de bovenkant van de arbeidsmarkt zitten.
[2458.78 --> 2470.12]  Dus bijvoorbeeld taken die horen bij onderzoekers of bij journalisten of bij juristen of bij medisch experts.
[2470.34 --> 2471.84]  Ga ik toch even invallen jongens.
[2472.30 --> 2475.88]  Ik zit netjes, ik vind trouwens je stuk erg goed hoor Maurits.
[2475.96 --> 2480.26]  Ik raad iedereen aan om het te lezen omdat heel veel van de vragen die ik meteen had,
[2480.40 --> 2483.64]  werden ook daadwerkelijk meteen weer beantwoord in de volgende Alinea.
[2483.64 --> 2486.20]  Ja, dus sowieso complimenten daarvoor.
[2486.64 --> 2491.98]  Wat ik wel zit te denken is dat als je kijkt naar Lodewijk Asscher over de robotisering en robots komen alles vervangen.
[2492.60 --> 2496.68]  Er zit natuurlijk ook een stuk in dat die voorspelling gewoon niet klopt op basis van wat robots kunnen.
[2496.68 --> 2501.92]  Want ik denk dat op het moment dat je een robot zou hebben die een woonkamer binnenkomt lopen,
[2502.04 --> 2509.54]  even vloeiend als een mens, vloeiend Nederlands spreekt en eigenlijk nagenoeg alle taken kan die een gemiddeld opgeleid Nederlander zou kunnen,
[2510.22 --> 2513.60]  dan denk ik dat er wel iets wezenlijks anders is.
[2513.72 --> 2517.52]  Dus als ik mezelf dan even in het, deze keer is het anders kamp plaats,
[2517.98 --> 2525.02]  dan zou ik zeggen als het inderdaad zo is dat we straks robots hebben die zich grotendeels kunnen gedragen als een volledig mens,
[2525.02 --> 2529.74]  dan is het anders. Maar die hebben we niet, want we zien alleen nog maar kleine vonkjes daarvan.
[2529.84 --> 2532.06]  En misschien duurt het wel weer twintig jaar of vijftig jaar.
[2532.58 --> 2538.38]  Dus ik zit meer te denken dat als ik jou een stuk lees, dan ben ik het best wel veel stukken ben ik het er mee eens.
[2538.46 --> 2544.28]  Want ik denk het wordt overtrokken en het valt allemaal nog wel mee en teksten genereren, laten we niet overdrijven, het is gewoon weer een tool.
[2544.78 --> 2548.06]  Maar ik zit een beetje in mijn fantasie, want laat ik het gewoon fantasie noemen,
[2548.20 --> 2552.56]  want ik extrapoleer op wat ik aan filmpjes en demootjes zie in de laatste maanden,
[2552.56 --> 2558.40]  zit ik te extrapoleren van ja, maar die robots van Lodewijk Asscher, die zijn er wel over vijf jaar.
[2558.72 --> 2561.56]  En dan is het toch wel anders. Dus mijn vraag aan jou is eigenlijk,
[2562.06 --> 2567.42]  als er dan een robot jouw kamer binnen komt lopen die echt spreekt vloeiend en al die taak kan vangen,
[2567.56 --> 2572.80]  is het dan voor jou anders? Of zeg je dan nog steeds, nee, het is gewoon weer oude wijn in nieuwe zakken?
[2573.68 --> 2582.38]  Nou, ik zit me gewoon even voor te stellen hoe het eruit ziet als ik nu een robot hier binnen komt lopen.
[2582.56 --> 2584.36]  Ja, maar even heel goed zitten, ja.
[2584.52 --> 2585.08]  Ja, ja, ja.
[2585.98 --> 2587.22]  Met humor hè, robot.
[2587.52 --> 2588.68]  Ja, ja, humor met robot.
[2589.18 --> 2591.88]  Ja, goed, misschien is dan het eerste wat ik aan die robot vraag,
[2591.96 --> 2597.80]  kun jij dat zonnepaneel even hierboven even vastmaken en die ook van al mijn buren,
[2597.92 --> 2601.60]  want er is een enorme tekort aan mensen die die dingen kunnen installeren.
[2601.60 --> 2606.74]  En daarna zeg ik, kan je misschien even naar mijn oma gaan in Zuid-Limburg,
[2606.88 --> 2614.04]  want de thuiszorg daar die is helemaal uitgekleed en zij heeft al twee weken geen hulp gehad.
[2614.72 --> 2624.90]  Dus ik bedoel meer, natuurlijk zijn er nieuwe taken die deze technologie uit kan voeren.
[2624.90 --> 2630.66]  Misschien is het ook wel meer dan anders, maar dat betekent niet dat, zeg maar,
[2630.88 --> 2637.92]  het enorme arbeidstekort wat wij nu hebben en de enorme vraag naar allemaal taken en allemaal banen,
[2638.00 --> 2642.38]  dat dat in één keer opgelost wordt door robots met JetGPT.
[2642.62 --> 2643.86]  Is dat een antwoord op je vraag?
[2644.26 --> 2644.98]  Heel mooi antwoord.
[2645.06 --> 2648.82]  Nee, ik zit zelf te denken dat waar, denk ik, mijn intuïtie zit van,
[2648.82 --> 2652.32]  los van het feit dat ik natuurlijk cynisch kan zijn, dat ik denk, ik ben gewoon nog te jong.
[2652.46 --> 2657.00]  Ik had het al een keer mee moeten maken, die eerdere beloftes, en dan hoor ik op een gegeven moment hetzelfde verhaal.
[2657.40 --> 2660.40]  Daarbij zeg ik niet dat jij oud bent, maar op een gegeven moment ga je natuurlijk merken,
[2660.54 --> 2664.54]  ja, die revolutie, het is ook een soort doomsdenken, het is een soort einde van de werelddenken,
[2664.60 --> 2667.24]  wat er een beetje in zit in die robo-pocalypse.
[2668.10 --> 2673.62]  Dus misschien moet ik hem gewoon een keer meemaken en dan ben ik ook wat minder snel onder de indruk.
[2673.92 --> 2676.32]  Maar toch heb ik dan nog het idee van, het is nu anders,
[2676.32 --> 2679.76]  en ik denk dat dat bij mij zit op een stukje snelheid,
[2679.88 --> 2684.66]  want ik denk dat wij ontzettend flexibel zijn als mensen, als samenleving en als individuen om ons aan te passen.
[2685.00 --> 2688.54]  Ik denk alleen wel dat we bepaalde limieten hebben hoe snel we ons kunnen aanpassen.
[2688.96 --> 2695.24]  Dus mijn zorg zit, denk ik, ja, als die robot met een jaar of vijf of tien wel die kamer komt binnenlopen,
[2695.72 --> 2697.78]  dat ik denk dat we heel snel moeten gaan shuffelen,
[2698.16 --> 2701.14]  sneller dan dat we ooit hebben moeten stoelen dansen in het verleden.
[2701.14 --> 2704.48]  En dat maakt het misschien nu anders dan voor mij.
[2704.82 --> 2707.42]  Het momentum, de snelheid, en daar zit ook een stukje zorg.
[2708.28 --> 2713.88]  En wat doet die robot dan allemaal? Wat zie jij die robot doen in jouw fantasie?
[2714.82 --> 2718.88]  Nou, ik denk dus het autootje van picknickrijden, maar dan echt gewoon op de plek van de chauffeur,
[2718.96 --> 2719.84]  gewoon heel brute force.
[2720.00 --> 2721.76]  Dus we gaan niet eens zelfrijden in de auto's.
[2722.16 --> 2725.64]  Die robot zit gewoon daar, die loopt naar je woning toe, neemt meteen het vuil mee.
[2725.64 --> 2729.90]  Dus ik denk inderdaad, zonnepanelen leggen, mensen uit bed halen.
[2730.94 --> 2734.48]  Even nog los van het feit of ik daar blij mee ben, dat mensen verzorgd worden door robots.
[2734.72 --> 2737.10]  Dat is even een andere discussie, maar dat kan dan.
[2737.54 --> 2742.90]  En ik denk dat er dan heel veel banen zijn of taken zijn, zoals jij het mooi zegt,
[2743.40 --> 2748.02]  die wel even mensen die een nieuwe plek moeten gaan vinden en krijgen.
[2748.56 --> 2750.86]  En dat het met een bepaalde snelheid gaat.
[2751.04 --> 2754.64]  Dat is dan een beetje die robopocalypse of zo, die ik dan in mijn fantasievormen zie.
[2754.64 --> 2761.58]  Waarin er van honderd naar duizend naar tienduizend robots binnen drie tot vijf jaar ineens best wel een aardverschuiving plaatsvindt.
[2761.58 --> 2766.00]  Omdat er heel veel synthetische mensen toegevoegd worden aan de arbeidspool.
[2766.22 --> 2769.88]  En mijn verhaal is volgens mij niet heel veel anders dan het verhaal uit de 80's en 90's.
[2770.04 --> 2770.92]  Dus dat geef ik toe.
[2771.54 --> 2773.34]  Maar nu gaat het echt gebeuren.
[2773.66 --> 2774.50]  Nu gaat het echt gebeuren.
[2775.04 --> 2776.32]  Misschien in het verlengde daarvan.
[2776.44 --> 2780.98]  Kijk, want we kunnen het over robots hebben en dat voelt dan misschien nog een beetje als toekomstmuziek.
[2781.08 --> 2783.84]  En dat moeten we natuurlijk ook nog maar zien of iets gelijk gaat krijgen.
[2783.84 --> 2791.04]  Maar in het geval van sommige sectoren binnen de economie is dit toch wel al meer dan een aantal taken die vervangen worden.
[2791.18 --> 2794.96]  We hebben dat persbericht gezien van Klarna wat heel erg rondging.
[2795.08 --> 2800.14]  Die vertelde dat ze heel veel klantenservice medewerkers overbodig hadden gemaakt door de komst van AI.
[2800.74 --> 2806.50]  Misschien maar eens als je zegt voor de hele economie geldt dat het elke keer meevalt tot nu toe.
[2806.74 --> 2808.76]  En die verwachting heb je nu eigenlijk ook.
[2808.76 --> 2815.10]  Is het dan wel zo dat als je op specifieke sectoren inzoomt.
[2815.64 --> 2821.68]  Dat het dan wel de meerderheid van de taken of een significant deel van de taken zo groot in ieder geval.
[2821.84 --> 2824.36]  Dat mensen in die sector niet meer nodig zijn.
[2824.60 --> 2830.06]  Is dat dan wel onderdeel van het punt wat je dan maakt?
[2830.06 --> 2835.94]  Ja nou ja het is allemaal op dit moment nog wel soort anekdotisch.
[2836.14 --> 2842.24]  Dus je kunt nu nog niet zeggen van developers raken massaal hun baan kwijt.
[2842.50 --> 2845.92]  Of klantenservice medewerkers moeten op zoek naar iets nieuws.
[2845.92 --> 2853.34]  Maar ik denk dat er nu ook gaat gebeuren de komende jaren wat er eerder ook is gebeurd.
[2853.78 --> 2864.60]  Namelijk dat er inderdaad wel degelijk bepaalde sectoren of bepaalde onderdelen van sectoren wel degelijk mensen laten gaan.
[2865.38 --> 2870.68]  En die mensen vervangen met technologie met AI.
[2870.68 --> 2875.62]  En ja de klantenservice dat is wel eentje die je heel veel hoort.
[2875.70 --> 2878.08]  Daar moet ik wel zeggen ik las laatst wel een leuk stuk in NRC.
[2878.90 --> 2884.88]  Waarin ja toch wel bleek dat ook dat vooralsnog echt wel een belofte is.
[2884.94 --> 2887.94]  Dat er gewoon best wel veel nog misgaat en niet werkt.
[2888.04 --> 2889.90]  En dat mensen er ook helemaal niet zo heel blij mee zijn.
[2890.24 --> 2892.78]  Ik bedoel dat bericht van Klarna was natuurlijk ook van Klarna.
[2894.26 --> 2899.62]  Maar dat is op zich zou ik me wel kunnen voorstellen dat daar op een bepaald moment echt iets gaat veranderen.
[2899.62 --> 2903.16]  En dat kan ik ook in bepaalde creatieve beroepen heel goed voorstellen.
[2903.80 --> 2907.04]  Je hebt het in je stuk over ontslagen bij Bild.
[2907.24 --> 2910.08]  Die waren vorig jaar aangekondigd. Een grote Duitse krant.
[2910.80 --> 2913.18]  Ik weet niet of dat nou uiteindelijk doorgegaan is.
[2913.28 --> 2919.16]  Maar die hadden toen in ieder geval het voornemen om honderden mensen te laten gaan in ruil voor AI.
[2919.70 --> 2922.04]  Daar werd niet per se gezegd dat dat dan journalisten waren.
[2922.18 --> 2924.54]  Er werd ook een beetje gezegd dat dat over vormgeving ging.
[2924.68 --> 2929.16]  En het klinkt een beetje alsof dat meer taken rondom een journalist bij de krant zijn.
[2929.16 --> 2931.22]  Maar of dat nou doorgegaan is of niet.
[2931.68 --> 2936.46]  Merk, zeg maar, jij schrijft zelf voor de correspondent natuurlijk.
[2937.34 --> 2942.38]  In welke mate merk jij dat jouw werk fundamenteel veranderd is?
[2942.54 --> 2946.06]  Zijn er taakjes die overgegaan zijn naar de AI?
[2946.30 --> 2947.16]  Of blijf je het doen met de...
[2948.10 --> 2950.18]  Het ganse veer.
[2950.30 --> 2951.40]  Het ganse veer.
[2951.90 --> 2954.18]  Het type artisanal typing.
[2954.18 --> 2961.50]  Nou ja, de transcriptiediensten is voor mij echt revolutionair.
[2961.98 --> 2965.46]  Dat verandert mijn werk zo fundamenteel.
[2965.62 --> 2970.24]  Want ik kan nu heel makkelijk eigenlijk iedereen die ik spreek heel makkelijk opnemen.
[2970.96 --> 2972.18]  En dat vervolgens transcriberen.
[2973.28 --> 2975.42]  En er nog één keertje naar luisteren.
[2975.42 --> 2980.38]  En dan heb ik toch wel vrij gedetailleerd in mijn hoofd wat ik met iemand heb besproken.
[2981.28 --> 2985.16]  Dat deed ik echt nog gewoon met een klapblok.
[2985.28 --> 2989.06]  Omdat ik geen zin had om alles op te nemen en terug te luisteren en uit te schrijven.
[2989.54 --> 2992.98]  Dat scheelt mij echt denk ik wel een volle dag per week.
[2993.10 --> 2996.52]  Maar er wordt nog niet geprompt om delen van artikelen te schrijven als groepgrijp?
[2996.52 --> 2999.38]  Nee, nee, nee.
[2999.44 --> 2999.90]  Zeker niet.
[3000.14 --> 3003.76]  Ik ben wel eens een beetje aan het kloten met koppen.
[3004.16 --> 3010.80]  En wat ik wel heel leuk vind is om een stuk van mij of een deel daarvan dan te laten bekritiseren.
[3011.22 --> 3013.06]  Door het chat GPT gebruik daar dan voor.
[3013.30 --> 3015.06]  Dat is best wel nuttig.
[3016.44 --> 3020.52]  Maar het genereert nog niks vooralsnog.
[3020.52 --> 3023.06]  Ben je er wel nieuwsgierig naar?
[3025.10 --> 3029.92]  Merk je dat je jezelf de hele tijd toch aan het testen bent of het ding nu al kan wat hij een half jaar geleden nog niet kon?
[3030.62 --> 3032.90]  Of leidt dat eigenlijk alleen maar af van de hoofdtaak?
[3034.12 --> 3040.10]  Nou, bij mij is een beetje de eerste liefde wel een beetje over.
[3040.30 --> 3042.88]  Of de bewondering ofzo voor de technologie.
[3043.26 --> 3046.20]  Ik ben nu wel heel benieuwd van oké, what's next dan?
[3046.20 --> 3046.64]  Weet je wel.
[3046.94 --> 3052.12]  Ik vind zelf gewoon die, als je gewoon kijkt van wat komt er uit?
[3052.20 --> 3054.08]  Wat komt er uit, chat GPT?
[3054.32 --> 3055.66]  Dat gebruik ik dan vooral.
[3055.96 --> 3058.60]  Dan valt het me eigenlijk altijd toch wel een beetje tegen.
[3059.78 --> 3061.96]  En is het dan, Maurits, als ik daarop mag aansluiten.
[3062.44 --> 3065.60]  Ik stel deze vraag wel vaker de laatste tijd ook als een soort, ja.
[3066.88 --> 3074.20]  Dan merk ik zelf dat ik helemaal in een bepaalde overtuiging zit van joh, ik moet de straat op.
[3074.20 --> 3075.32]  Zo belangrijk is dit, hè.
[3075.32 --> 3077.00]  Dan lees ik zo'n stuk voor jou en dan word ik weer rustig.
[3077.08 --> 3078.64]  Dan denk ik, nou, misschien, Maurits wel gelijk.
[3078.72 --> 3079.66]  Het valt eigenlijk allemaal mee.
[3080.12 --> 3084.66]  Maar dan, mijn vraag aan jou is dan van, wanneer, misschien ga je wel nooit de straat op,
[3084.72 --> 3088.18]  hoor, zit dat niet in je karakter, maar wanneer zou jij dan wel dat gevoel krijgen?
[3088.64 --> 3089.90]  Hoe moet dat er dan uitzien?
[3090.76 --> 3093.02]  Wat voor tool stuurt Alexander jou dan op?
[3093.10 --> 3097.06]  Of vind jij online dat je denkt, potverdikking, misschien heeft die gekke biets toch wel gelijk
[3097.06 --> 3098.52]  dat het deze keer een beetje anders is?
[3098.52 --> 3100.20]  Ja.
[3101.04 --> 3107.44]  Ja, ik denk dat dat niet zozeer in een tool of in een technologie zit, maar in een keuze
[3107.44 --> 3111.82]  van iemand in hoe die technologie gebruikt wordt.
[3111.82 --> 3117.92]  Dus dat is ook een beetje de conclusie van mijn verhaal, dat ik denk dat het effect van
[3117.92 --> 3123.90]  AI op de arbeidsmarkt, sowieso het effect van AI uiteindelijk veel minder afhangt van
[3123.90 --> 3125.70]  AI dan van ons.
[3125.88 --> 3130.56]  Dus van de keuzes die we maken, de politieke keuzes, de economische keuzes.
[3130.56 --> 3139.50]  En ik zou op zich wel de straat op gaan als heel veel bazen van bedrijven denken dat de
[3139.50 --> 3142.92]  technologie wel degelijk in staat is om hele banen over te nemen.
[3143.58 --> 3146.36]  En die keuze die kunnen zij in principe natuurlijk gewoon maken.
[3146.80 --> 3149.78]  Ja, dat is niet helemaal waar, maar ze kunnen daar vrij ver in gaan.
[3150.18 --> 3155.80]  Je bedoelt te zeggen, ze hoeven niet banen overbodig te maken door AI, want ze kiezen daar
[3155.80 --> 3156.38]  zelf voor.
[3156.38 --> 3158.24]  Ja, ze kunnen er.
[3158.54 --> 3161.66]  Uiteindelijk is dat natuurlijk gewoon een keuze van een baas.
[3161.78 --> 3167.06]  Als Rob Wijnberg volgende week in zijn hoofd krijgt dat ik wel degelijk te vervangen ben
[3167.06 --> 3169.60]  door chat GPT, dan kan hij mij gewoon laten gaan.
[3169.60 --> 3179.06]  Maar bedoel je daarmee te zeggen, als de techniek zo goed is dat een klantenservice in Nederland
[3179.06 --> 3185.86]  overgenomen kan worden door een robot, dan zouden wij als land alsnog de keuze
[3185.86 --> 3189.34]  moeten kunnen maken om het werk alsnog door mensen te laten doen.
[3189.44 --> 3190.14]  Is dat wat je zegt?
[3190.52 --> 3191.10]  Ja, natuurlijk.
[3191.54 --> 3191.98]  Natuurlijk.
[3192.36 --> 3193.86]  Die keuze, die is er.
[3194.80 --> 3194.94]  Ja.
[3195.60 --> 3204.14]  Want ik bedoel, ja, goed een klantenservice, dat is misschien niet een voorbeeld waar je heel
[3204.14 --> 3206.14]  veel schuring of zo vindt.
[3206.14 --> 3215.72]  Maar goed, als het gaat over echt het maken van beelden, van teksten, van schoolboeken,
[3215.72 --> 3225.50]  van het lesgeven aan kinderen, het zorgen voor mijn oma in Zuid-Limburg door een robot.
[3225.50 --> 3228.46]  Daar liggen allemaal keuzes aan, ten grondslag.
[3228.54 --> 3230.22]  Het is niet zo dat dat vanzelf gebeurt.
[3230.90 --> 3232.80]  En daar zijn wij zelf bij, zeg maar.
[3233.50 --> 3238.98]  En hoe kun je daar ook over oordelen, zeg maar.
[3240.04 --> 3251.74]  Denk je dan van, nou, deze klantenservice robot, die geeft betere antwoorden dan een mens.
[3251.74 --> 3255.14]  Dus, oké, maar goed, ja, maar hoe bepaal je dat dan, zeg maar?
[3255.22 --> 3256.12]  Wat is dan beter?
[3257.00 --> 3258.80]  En dat is dan nog bij de klantenservice.
[3259.06 --> 3259.18]  Ja.
[3259.18 --> 3264.98]  Dus, dus als je vraagt van wanneer ga jij de straat op?
[3265.48 --> 3271.02]  Ik denk dat ik de straat op ga op het moment dat er keuzes worden gemaakt die in mijn ogen
[3271.02 --> 3272.26]  niet kloppen.
[3272.96 --> 3274.32]  Wil je zelf het stuk lezen?
[3274.42 --> 3274.74]  Dat kan.
[3274.92 --> 3275.82]  Door naar de consument te gaan.
[3275.92 --> 3278.72]  Het stuk heet, raken we door kunstmatige intelligentie allemaal onze baan kwijt.
[3279.30 --> 3279.94]  Maurits, dank je wel.
[3280.54 --> 3280.66]  Jo.
[3280.86 --> 3281.24]  Dank je wel.
[3281.74 --> 3282.84]  Oké, Wietse ten slotte.
[3284.14 --> 3286.72]  Zoals jij misschien weet, ben ik ook uitgever.
[3286.84 --> 3288.26]  Ik geef ook boeken uit.
[3288.62 --> 3292.92]  En een deel van dat werk is het vertalen van Engelstalige boeken naar het Nederlands.
[3293.02 --> 3294.22]  Om hier in Nederland uit te brengen.
[3294.92 --> 3296.80]  En dat is altijd met een vertaler.
[3296.96 --> 3298.92]  Dus dan huur je vertalers in.
[3299.08 --> 3302.96]  En die gaan dan met je boek aan de slag om er zo goed mogelijk Nederlandse tekst van
[3302.96 --> 3303.34]  te maken.
[3304.00 --> 3307.14]  Maar ja, door de komst van al die AI-tools ga je toch een beetje ook afvragen.
[3307.14 --> 3312.50]  Moeten we niet ook AI proberen te gebruiken om dingen te vertalen.
[3312.66 --> 3316.44]  Al was het maar een eerste draft om op basis daarvan te werken.
[3316.56 --> 3318.40]  Dus dat gesprek wat we net met Maurits hadden.
[3318.40 --> 3321.34]  Eigenlijk bracht ik dat in de praktijk.
[3321.46 --> 3326.38]  Namelijk welke taak, misschien niet het hele beroep, maar welke taak kan in ieder geval AI
[3326.38 --> 3327.16]  een rol in.
[3327.34 --> 3328.56]  Ja, het kwam ineens heel dichtbij.
[3328.84 --> 3329.98]  Ja, het kwam heel dichtbij.
[3329.98 --> 3335.94]  En toen dacht ik, nou, als AI sommelier moet je dan natuurlijk nadenken over welk model
[3335.94 --> 3337.20]  ga ik hiervoor gebruiken.
[3337.40 --> 3341.70]  En toen was mijn verwachting dat Chachepetie heel houterig zou gaan zijn in de vertaling.
[3342.48 --> 3346.18]  En Claude een stuk mooier zou schrijven.
[3347.06 --> 3348.54]  En die verwachting die kwam uit.
[3348.64 --> 3353.26]  En dat kwam eigenlijk omdat het is dus echt heel goed wat er uit Claude komt als vertaling
[3353.26 --> 3355.46]  van het Engels naar het Nederlands.
[3355.46 --> 3360.88]  Maar de truc was, en dat is misschien dat de luisteraars daar wat aan hebben die wel eens
[3360.88 --> 3362.04]  wat moeten vertalen.
[3362.50 --> 3367.60]  Mijn eerste prompt ging veel meer over wat hij moest doen en wie hij was.
[3367.78 --> 3373.84]  Dus mijn prompt was iets als van, herschrijf de tekst van het Engels naar het Nederlands.
[3373.96 --> 3375.38]  De zinnen moeten op elkaar voortbouwen.
[3375.46 --> 3376.48]  De inhoud moet hetzelfde zijn.
[3376.56 --> 3378.08]  Je mag geen informatie weglaten.
[3378.94 --> 3381.60]  Maar ja, we gaan het nu vertalen.
[3381.70 --> 3383.16]  Je bent de beste vertaler denkbaar.
[3383.32 --> 3384.58]  Zoiets in het eerste prompt.
[3384.58 --> 3388.32]  En toen kwam die met de vertaling, die was redelijk oké.
[3388.40 --> 3391.50]  Maar toen heb ik daar een prompt overheen gedaan.
[3391.66 --> 3395.04]  Waarom ik als het ware de creatieve vrijheid heb gegeven.
[3396.26 --> 3401.80]  Om met de volgorde van zinnen en de structuur van de zinnen te spelen.
[3402.28 --> 3403.90]  Dus de inhoud moest nog steeds hetzelfde zijn.
[3404.00 --> 3410.04]  Maar meer vrijheid gegeven om de zinnen op elkaar te laten voortbouwen.
[3410.12 --> 3411.86]  Op een manier die logisch is in het Nederlands.
[3411.86 --> 3413.52]  En toen kwam die met een tweede versie.
[3414.00 --> 3415.64]  Je hebt het hele boek erin gegooid hè?
[3415.78 --> 3415.96]  Ja.
[3417.06 --> 3417.54]  Oké.
[3417.68 --> 3419.50]  En toen kwam die met een tweede versie.
[3420.22 --> 3421.96]  En die zat ik toen te lezen.
[3422.04 --> 3423.86]  Toen dacht ik, oké man, dit is echt gewoon...
[3424.52 --> 3426.38]  We zijn nu op 90% of zo.
[3427.42 --> 3430.32]  Er moet echt nog wel wat werk gedaan worden.
[3430.32 --> 3431.72]  Maar poeh.
[3432.04 --> 3434.40]  Maar nu zit ik dus te denken, oké hier is dus de basis.
[3434.82 --> 3440.24]  En ik denk dat dit een soort van moment is waar iedereen voor gaat komen te staan.
[3440.70 --> 3446.24]  Al die alle werkgevers, zoals we het met Maurits net over hadden, gaan voor deze keuze staan.
[3446.62 --> 3448.54]  Namelijk de vraag, ga ik dit dan ook doen?
[3449.20 --> 3455.96]  Want ja, je weet ook gewoon dat er ook backlash gaat komen.
[3455.96 --> 3457.96]  Er zijn mensen die...
[3457.96 --> 3462.34]  Ja, er zijn mensen die gaan het gewoon niet cool vinden dat je hiervoor AI gebruikt.
[3462.40 --> 3466.50]  En ik zag een voorbeeld van Lego afgelopen week.
[3467.78 --> 3473.16]  Lego had op haar website, hadden ze voor de populaire lijn Lego Ninjago.
[3473.26 --> 3476.34]  Ik ben niet bekend met dit fenomeen, maar dat is een eind populair te zijn.
[3476.52 --> 3477.94]  Oké, wat is dit?
[3479.10 --> 3479.90]  Ja, dat...
[3479.90 --> 3480.74]  Ninja Lego.
[3480.74 --> 3485.00]  En de zoon van een vriend van mij is hier helemaal mee bezig, daarom weet ik het.
[3485.00 --> 3486.40]  Oké, dit is een ding.
[3486.52 --> 3487.04]  Ninjago.
[3487.50 --> 3495.66]  In ieder geval, Lego had op de homepage van Ninjago, hadden zij AI-gegenereerd Lego plaatjes gemaakt.
[3496.06 --> 3498.04]  En daar was dus heel veel backlash over.
[3498.30 --> 3506.90]  En toen heeft de bedenker van Lego Ninjago, heeft op Twitter gezegd, dit is schandalig, dit had niet mogen gebeuren.
[3507.00 --> 3508.80]  Ik hoop dat dit zo snel mogelijk verdwijnt.
[3508.80 --> 3511.60]  Oftewel, onderdeel van die...
[3511.60 --> 3516.14]  Ja, dit is inmiddels dus onderdeel van die dynamiek die je hebt met klanten.
[3516.26 --> 3520.28]  Namelijk, gaan de klanten het wel accepteren als een deel van het werk door AI gedaan wordt.
