Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[1538.76 --> 1540.22]  Iets van proberen te bakken.
[1540.42 --> 1540.92]  Zullen we maar zeggen.
[1541.40 --> 1541.54]  Ja.
[1541.54 --> 1544.02]  En ondanks die...
[1544.02 --> 1545.48]  beperkte trainingsgegevens...
[1545.48 --> 1546.28]  was de AI in staat...
[1546.28 --> 1547.56]  om objecten uit te pikken...
[1547.56 --> 1549.34]  en de bijbehorende woorden te leren.
[1549.54 --> 1551.48]  Dus puur op basis van audio...
[1551.48 --> 1553.16]  en het beeld...
[1553.16 --> 1554.88]  uit de ogen van de kleine Sam.
[1555.88 --> 1556.96]  En vervolgens...
[1556.96 --> 1558.00]  vroegen ze aan het model...
[1558.00 --> 1559.68]  om objecten te identificeren...
[1559.68 --> 1561.96]  die Sam ooit in zijn leven had gezien...
[1561.96 --> 1562.94]  zoals een stoel in zijn huis...
[1562.94 --> 1563.94]  of een van de ballen...
[1563.94 --> 1564.86]  waar Sam mee speelt.
[1565.38 --> 1567.24]  En uit een lijst van vier opties...
[1567.24 --> 1570.22]  zo quiz, dus als het ware de AI...
[1570.22 --> 1571.10]  had het model...
[1571.10 --> 1572.34]  het bij het juiste eind...
[1572.34 --> 1574.16]  in 62% van de...
[1574.16 --> 1576.16]  van de...
[1576.16 --> 1576.50]  keren.
[1576.82 --> 1578.16]  En dat is dus beter dan...
[1578.76 --> 1579.56]  gewoon maar gokken...
[1579.56 --> 1580.76]  want dan zou je een kwart goed hebben.
[1581.32 --> 1583.08]  Dus 62% was goed.
[1583.30 --> 1584.46]  En dat was...
[1584.46 --> 1586.70]  tot grote verrassing...
[1586.70 --> 1587.88]  van die onderzoekers.
[1587.96 --> 1589.60]  En ze waren ook nog eens...
[1589.60 --> 1590.16]  blij verrast...
[1590.16 --> 1592.02]  dat het ding dus ook...
[1592.02 --> 1593.18]  dingen kon identificeren...
[1593.18 --> 1594.62]  die Sam helemaal nog nooit...
[1594.62 --> 1595.42]  gezien had.
[1596.00 --> 1596.92]  Dus blijkbaar...
[1596.92 --> 1598.36]  door gewoon naar de wereld...
[1598.36 --> 1599.00]  te kijken...
[1599.00 --> 1600.62]  als een kleine baby...
[1600.62 --> 1602.18]  en via je oren...
[1602.18 --> 1602.98]  en je ogen...
[1602.98 --> 1603.74]  te registreren...
[1603.74 --> 1604.74]  was je ook in staat...
[1604.74 --> 1606.10]  om gerelateerde dingen...
[1606.10 --> 1607.16]  dus ballen...
[1607.16 --> 1608.50]  die Sam nog nooit gezien had...
[1608.50 --> 1609.84]  kon het ding er ook...
[1609.84 --> 1610.50]  uit pikken.
[1611.36 --> 1612.20]  En daar ben ik benieuwd...
[1612.20 --> 1613.38]  want toen je begon...
[1613.38 --> 1614.28]  dacht ik...
[1614.28 --> 1615.98]  dit gaat heel erg over...
[1615.98 --> 1617.92]  dat ze wilden weten...
[1617.92 --> 1620.28]  en ze kunnen misschien niet...
[1620.28 --> 1621.34]  ze kunnen meerdere...
[1621.34 --> 1622.84]  dat is mooi van zo'n experiment natuurlijk...
[1622.84 --> 1623.58]  of zo'n setup...
[1623.58 --> 1624.64]  dat je...
[1624.64 --> 1625.54]  conclusies...
[1625.54 --> 1626.36]  tot conclusies gekomen...
[1626.36 --> 1626.94]  die je helemaal niet...
[1626.94 --> 1627.82]  van tevoren had voorzien.
[1627.92 --> 1628.74]  Dus ik weet niet hoe breed...
[1628.74 --> 1629.40]  het ingezet is...
[1629.40 --> 1631.04]  maar ik zit te denken dat...
[1631.04 --> 1632.54]  ik dacht dat...
[1632.54 --> 1633.94]  dat wat ze wilden weten was...
[1633.94 --> 1634.72]  is het zinvol...
[1634.72 --> 1635.76]  om het in stappen te doen.
[1636.70 --> 1637.42]  Dus dat je niet...
[1637.42 --> 1638.54]  zoals in de Matrix zegt...
[1638.54 --> 1639.94]  joh geef mij het programma...
[1639.94 --> 1640.68]  voor een helikopter...
[1640.68 --> 1641.04]  brrrrrt...
[1641.04 --> 1641.96]  en het staat erop...
[1641.96 --> 1643.18]  maar dat je beter in...
[1643.18 --> 1644.48]  iteratief kunt leren...
[1644.48 --> 1645.20]  een soort stacken.
[1646.62 --> 1647.54]  En dat is natuurlijk...
[1647.54 --> 1648.02]  wat je kunt...
[1648.02 --> 1649.14]  maar wat ik nu eigenlijk hoor...
[1649.14 --> 1651.10]  is meer dan de embodiment...
[1651.10 --> 1651.88]  dus het idee...
[1651.88 --> 1652.94]  daar zijn hele...
[1652.94 --> 1654.58]  heel veld van...
[1654.58 --> 1655.28]  van je moet...
[1655.28 --> 1656.54]  als jij een robot wil leren...
[1656.54 --> 1657.78]  of een AI wil leren voetballen...
[1657.78 --> 1658.92]  dan moet je die...
[1658.92 --> 1660.38]  moet je die dingen tonen...
[1660.38 --> 1661.58]  van de camera...
[1661.58 --> 1662.32]  een GoPro...
[1662.32 --> 1663.74]  van een voetballer in een veld...
[1663.74 --> 1665.28]  en niet bijvoorbeeld...
[1665.28 --> 1666.84]  een camera van bovenaf...
[1666.84 --> 1668.30]  want je wil eigenlijk...
[1668.30 --> 1669.38]  dat je de wereld ziet...
[1669.38 --> 1670.84]  door de ogen van een voetballer...
[1670.84 --> 1671.72]  dus dan ben je eigenlijk...
[1671.72 --> 1672.38]  embodied...
[1672.38 --> 1673.40]  in dit geval in een...
[1673.40 --> 1673.88]  dus...
[1673.88 --> 1675.86]  maar ging het nu om het stapelen...
[1675.86 --> 1677.14]  van soort van...
[1677.14 --> 1678.66]  iteratief rustig...
[1678.66 --> 1679.42]  opstarten leren...
[1679.42 --> 1681.04]  en of...
[1681.04 --> 1682.50]  het daadwerkelijk leren...
[1682.50 --> 1683.40]  vanuit het perspectief...
[1683.40 --> 1684.32]  van hoe een kind...
[1684.32 --> 1685.66]  of bijvoorbeeld een voetballer leert.
[1685.80 --> 1686.30]  Goeie vraag.
[1686.40 --> 1687.46]  Ik denk dat...
[1687.46 --> 1688.28]  dat weet ik niet.
[1688.46 --> 1689.30]  Ik denk dat ze...
[1689.30 --> 1690.16]  aan het proberen zijn...
[1690.16 --> 1691.84]  om te kijken of er andere methoden zijn...
[1691.84 --> 1692.84]  om een AI te leren...
[1692.84 --> 1693.68]  anders dan gewoon...
[1693.68 --> 1694.70]  een enorme dataset...
[1694.70 --> 1695.34]  op ze te storten.
[1695.74 --> 1696.50]  En ik weet ook niet...
[1696.50 --> 1697.70]  of dit nou een...
[1697.70 --> 1699.60]  helemaal geslaagd experiment was...
[1699.60 --> 1700.90]  want aan het eind van de...
[1700.90 --> 1701.46]  van de rit...
[1701.46 --> 1703.02]  was Sam nog steeds slimmer...
[1703.02 --> 1704.48]  na die 25 maanden...
[1704.48 --> 1705.52]  was Sam nog steeds minder...
[1705.52 --> 1706.42]  als in zijn woordenschat...
[1706.42 --> 1708.24]  was groter...
[1708.24 --> 1709.32]  een taalvaardigheid...
[1709.32 --> 1710.22]  was beter...
[1710.22 --> 1711.24]  dan de AI...
[1711.24 --> 1712.04]  aan het einde van de rit.
[1712.18 --> 1712.96]  Dus...
[1712.96 --> 1713.92]  ik neem aan...
[1713.92 --> 1714.86]  dat ze proberen...
[1714.86 --> 1715.80]  om te kijken...
[1715.80 --> 1717.24]  of er andere methoden zijn...
[1717.24 --> 1718.96]  om AI te laten leren...
[1718.96 --> 1719.96]  waardoor de...
[1719.96 --> 1721.50]  de resultaten...
[1721.50 --> 1722.52]  beter worden.
[1723.12 --> 1723.90]  Ja, want er zit voor mij...
[1723.90 --> 1724.82]  een soort...
[1724.82 --> 1726.58]  ook weer een andere fascinatie in...
[1726.58 --> 1727.64]  dat ik denk...
[1727.64 --> 1728.78]  evolutie...
[1728.78 --> 1729.88]  en wij zijn allebei...
[1729.88 --> 1731.06]  een resultaat van het...
[1731.06 --> 1732.08]  evolutionair proces...
[1732.08 --> 1732.74]  in ieder geval...
[1732.74 --> 1733.88]  in wat ik persoonlijk...
[1733.88 --> 1735.80]  als subjectief wereldbeeld ervaar...
[1735.80 --> 1737.28]  mag je je eigen invulling...
[1737.28 --> 1739.06]  aangeven in je leven gelukkig...
[1739.06 --> 1739.72]  dan...
[1739.72 --> 1740.70]  evolutie heeft niet per se...
[1740.70 --> 1742.00]  de beste oplossingen gekozen...
[1742.00 --> 1743.24]  ik bedoel je hebt nog een blinde darm...
[1743.24 --> 1744.30]  een soort stukje staart...
[1744.30 --> 1745.36]  het is allemaal niet heel best...
[1745.36 --> 1746.74]  maar het is nog steeds...
[1746.74 --> 1747.42]  fantastisch...
[1747.42 --> 1748.64]  dat we hier zitten...
[1748.64 --> 1750.00]  desondanks...
[1750.00 --> 1751.30]  maar dat betekent niet...
[1751.30 --> 1753.12]  dat wij het meest efficiënte zijn...
[1753.12 --> 1754.02]  of dat er niet dingen...
[1754.02 --> 1756.00]  anders ontworpen hadden kunnen worden...
[1756.00 --> 1756.56]  dat bewijzen van...
[1756.56 --> 1757.92]  het gevaarlijk wordt in evolutie...
[1757.92 --> 1759.66]  maar...
[1759.66 --> 1760.14]  maar...
[1760.14 --> 1761.70]  het is ook al vaker gebleken...
[1761.70 --> 1762.52]  dat wij...
[1762.52 --> 1763.70]  de mensheid...
[1763.70 --> 1764.70]  met het soort...
[1764.70 --> 1765.26]  hubris...
[1765.26 --> 1767.44]  arrogantie dachten...
[1767.44 --> 1767.94]  ja...
[1767.94 --> 1768.76]  natuurlijk...
[1768.76 --> 1770.62]  als je het optimale leersysteem zou maken...
[1770.62 --> 1772.20]  zou je dat nooit iteratief leren...
[1772.20 --> 1773.04]  dat doen wij alleen maar...
[1773.04 --> 1774.48]  omdat dat brein gewoon anders niet...
[1774.48 --> 1775.48]  kan je niet geboren worden...
[1775.48 --> 1776.88]  je moet later pas groot worden...
[1776.88 --> 1777.16]  zeg maar...
[1777.16 --> 1778.66]  dus wij moeten wel klein beginnen...
[1778.66 --> 1779.66]  en groot eindigen...
[1779.66 --> 1780.28]  zeg maar...
[1780.28 --> 1781.18]  qua grootte van lijf...
[1781.18 --> 1782.28]  maar ook qua grootte van brein...
[1782.28 --> 1783.64]  want dat brein ontwikkelt natuurlijk...
[1783.64 --> 1785.10]  van iets naar heel veel...
[1785.10 --> 1786.70]  van niets naar iets...
[1786.70 --> 1787.38]  en...
[1787.38 --> 1788.06]  maar het kan...
[1788.06 --> 1789.38]  dan is het al heel vaak gebleken van...
[1789.38 --> 1789.86]  nee...
[1789.86 --> 1791.16]  eigenlijk heeft dat bijvoorbeeld...
[1791.16 --> 1791.98]  iteratief leren...
[1791.98 --> 1792.70]  of klein beginnen...
[1792.70 --> 1793.48]  en groot eindigen...
[1793.48 --> 1794.42]  ja...
[1794.42 --> 1795.34]  dat moet je juist doen...
[1795.34 --> 1796.84]  dus dit vind ik...
[1796.84 --> 1798.94]  dat heb ik bij mezelf ook al een aantal keer gemerkt...
[1798.94 --> 1800.22]  dat ik gewoon...
[1800.22 --> 1801.78]  mijn eigen domme ideeën had...
[1801.78 --> 1802.36]  over dingen...
[1802.36 --> 1802.98]  en dacht...
[1802.98 --> 1804.02]  oh dat zal wel...
[1804.02 --> 1805.84]  als ik het kan engineeren en ontwerpen...
[1805.84 --> 1807.42]  dan sla je die drie stappen over...
[1807.42 --> 1809.22]  want dat doet echt alleen maar biologie zo dom...
[1809.22 --> 1809.42]  ja...
[1809.42 --> 1812.16]  en dan blijkt dat ineens allemaal voordelen te hebben...
[1812.16 --> 1814.66]  dus daarom vind ik dit echt een interessant onderzoek...
[1814.66 --> 1818.48]  ik was bij een ouderavond op een basisschool...
[1818.48 --> 1820.72]  en toen ging het over...
[1820.72 --> 1822.56]  media gebruik door kinderen...
[1822.56 --> 1823.40]  dat was heel breed...
[1823.40 --> 1824.86]  het ging over allerlei sociale media...
[1824.86 --> 1826.92]  maar het ging ook even over AI...
[1826.92 --> 1828.10]  toen was daar een onderzoeker...
[1828.10 --> 1829.74]  en die zei...
[1829.74 --> 1831.22]  dat hij denkt...
[1831.22 --> 1833.16]  dat het pas verstandig is...
[1833.16 --> 1835.26]  om JGBT in het leven van kinderen...
[1835.26 --> 1836.08]  te introduceren...
[1836.08 --> 1837.96]  als ze een jaar of elf zijn...
[1837.96 --> 1840.64]  twaalf bijna naar de middelbare school gaan...
[1840.64 --> 1842.60]  omdat het niet verstandig is...
[1842.60 --> 1844.38]  om een kind eerst...
[1844.38 --> 1847.16]  een soort van te laten wennen...
[1847.16 --> 1850.06]  aan iets wat zoveel kan genereren...
[1850.06 --> 1851.28]  zoveel plaatjes kan genereren...
[1851.28 --> 1853.18]  zoveel tekst kan genereren...
[1853.18 --> 1856.06]  als je niet daarvoor de stappen hebt gezet...
[1856.06 --> 1857.32]  boekjes lezen...
[1857.32 --> 1858.78]  zelf woorden schrijven...
[1858.78 --> 1860.06]  zinnen beginnen te schrijven...
[1861.10 --> 1862.24]  een soort van begrijpen...
[1862.24 --> 1863.92]  dat er coherentie moet zitten...
[1863.92 --> 1866.06]  tussen paragrafen...
[1866.82 --> 1868.68]  gewoon de hele rit...
[1868.68 --> 1872.06]  naar het schrijven van een werkstuk...
[1873.14 --> 1873.82]  of een artikel...
[1873.82 --> 1875.06]  of ik weet niet wat precies...
[1875.06 --> 1876.06]  je capaciteit moet zijn...
[1876.06 --> 1877.86]  als je net naar de middelbare school gaat...
[1877.86 --> 1880.02]  maar dat het dus verstandig is...
[1880.02 --> 1881.88]  om kinderen te onthouden...
[1881.88 --> 1885.06]  van die kunst...
[1885.06 --> 1886.64]  van het goed...
[1886.64 --> 1887.64]  ja, van het...
[1887.64 --> 1889.48]  ik weet niet of het nou prompt...
[1889.48 --> 1890.06]  in ieder geval...
[1890.84 --> 1892.42]  hen helpen inzien...
[1892.42 --> 1894.52]  dat dit allemaal automatisch kan...
[1894.52 --> 1896.32]  lang een stuk stek te schrijven...
[1896.32 --> 1897.66]  toen dacht ik ook voor het eerst...
[1897.66 --> 1898.96]  dat was wel een moment...
[1898.96 --> 1900.46]  dat ik me voor het eerst realiseerde...
[1900.46 --> 1902.06]  oh ja, dit is helemaal niet per se verstandig...
[1902.62 --> 1904.06]  om te beginnen met...
[1904.06 --> 1905.34]  met Chatje Petit...
[1905.34 --> 1907.06]  ook al heb ik heel erg die neiging als ouder...
[1907.58 --> 1909.84]  om dat nieuwste dan te laten zien...
[1909.84 --> 1911.50]  want dit is wat er allemaal kan...
[1911.50 --> 1912.02]  ik denk...
[1912.02 --> 1912.70]  het is echt grappig...
[1912.70 --> 1913.64]  want dit doet me erg denken...
[1913.64 --> 1914.56]  de discussies...
[1914.56 --> 1916.02]  vorige aflevering had ik het over...
[1916.02 --> 1917.96]  je laat een kind geen kilo suiker opeten...
[1917.96 --> 1918.58]  op een verjaardag...
[1918.58 --> 1919.74]  of in ieder geval als je dat ziet gebeuren...
[1919.74 --> 1920.84]  dan zou je die zak suiker...
[1920.84 --> 1922.88]  puur suiker gewoon even pakken...
[1922.88 --> 1923.52]  van jong...
[1923.52 --> 1925.34]  je hoeft niet eens nemen een banaan...
[1925.34 --> 1925.84]  maar kom op...
[1925.84 --> 1927.36]  nou een kilo suiker te gaan zitten eten...
[1927.36 --> 1928.92]  dat ik intuïtief denk...
[1928.92 --> 1929.92]  dat veel ouders...
[1929.92 --> 1931.38]  en misschien mensen die niet eens kinderen hebben...
[1931.38 --> 1932.34]  denken nou doe maar niet joh...
[1932.34 --> 1933.24]  dat is een beetje gek...
[1933.24 --> 1935.24]  of een blikje in het boel bij een baby...
[1935.24 --> 1936.08]  moet je hem gewoon niet doen joh...
[1936.08 --> 1936.96]  dat is een beetje gek...
[1936.96 --> 1940.56]  nou dat die intuïtie is er volgens mij wel bij veel van ons...
[1940.56 --> 1943.52]  maar als ik dus eenmaal dat ga proberen toe te passen...
[1943.52 --> 1945.98]  op het digitale media consumptie ding...
[1945.98 --> 1947.28]  dan ontstaan er allerlei hele...
[1947.28 --> 1949.86]  soms best wel pittige discussies om mij heen...
[1949.86 --> 1952.32]  maar nu je dit zo vertelt denk ik...
[1952.32 --> 1954.10]  hoe zit het eigenlijk met de kijkwijzer...
[1954.10 --> 1955.92]  om maar even iets erin te gooien...
[1955.92 --> 1956.82]  want we hebben natuurlijk...
[1956.82 --> 1958.54]  die heet volgens mij de kijkwijzer toch...
[1958.54 --> 1959.34]  maar je hebt wel leeftijden...
[1959.34 --> 1960.62]  12 plus, 16 plus...
[1960.62 --> 1961.62]  misschien zelfs 18 plus...
[1961.62 --> 1962.20]  weet ik niet...
[1962.20 --> 1962.62]  ja klopt...
[1962.62 --> 1964.88]  omdat we op een bepaalde manier hebben bedacht...
[1964.88 --> 1967.02]  als het om volgens mij dan films en series...
[1967.02 --> 1968.58]  of is dat video breed...
[1968.58 --> 1970.38]  of is het alleen maar films en series...
[1970.38 --> 1971.20]  dat weet ik niet zo goed...
[1971.20 --> 1973.92]  iets wat op tv kan komen of op YouTube denk ik dan...
[1973.92 --> 1976.74]  daar kan een kijkwijzer aan gehangen worden...
[1976.74 --> 1978.68]  ergens in het TikTok YouTube tijdbeg...
[1978.68 --> 1980.24]  zijn we dat kwijt geraakt denk ik...
[1980.24 --> 1983.28]  want ik heb nog nooit een 12 plus logootje...
[1983.28 --> 1984.20]  wat ze zo mooi hebben...
[1984.20 --> 1986.78]  ze hebben natuurlijk van die stickertjes gemaakt met logotjes...
[1986.78 --> 1987.18]  heb ik nog nooit...
[1987.18 --> 1990.26]  Ja, dat niet per YouTube video staat er zo'n ding bij, nee...
[1990.26 --> 1992.34]  Nee, wat inmiddels met AI...
[1992.34 --> 1993.68]  vrij makkelijk zou kunnen denk ik...
[1993.68 --> 1995.74]  is als zij zeggen er zijn te veel YouTube video's...
[1995.74 --> 1996.60]  onzin...
[1996.60 --> 1998.32]  want volgens mij kan je gewoon een model trainen...
[1998.32 --> 2000.64]  en zeggen dit zijn 3000 dingen die 12 plus zijn...
[2000.64 --> 2002.26]  plak hem er nu maar standaard op...
[2002.26 --> 2004.02]  maar die kijkwijzer...
[2004.02 --> 2006.04]  ik merk dus in discussies dat die kijkwijzer...
[2006.04 --> 2007.84]  die maakt wat los bij mensen...
[2007.84 --> 2010.40]  maar daar heb je dus dat spectrum in van ouders...
[2010.40 --> 2011.86]  die ik dan om me heen ontmoet...
[2011.86 --> 2012.42]  waarbij je hebt...
[2012.42 --> 2013.32]  joh, laat het maar zien...
[2013.32 --> 2014.56]  anders zien ze het ergens anders...
[2014.56 --> 2014.96]  zoiets...
[2014.96 --> 2016.18]  dan ben ik er tenminste bij of zo...
[2016.18 --> 2017.68]  dan kan ik nog duiding geven...
[2017.68 --> 2018.68]  ver en af...
[2018.68 --> 2019.74]  of ouders die echt zeggen...
[2019.74 --> 2022.50]  ik zet echt een filter net op mijn internet...
[2022.50 --> 2023.20]  ik ben erbij...
[2023.20 --> 2024.06]  computer staat beneden...
[2024.06 --> 2025.22]  of iPads zijn altijd beneden...
[2025.22 --> 2026.00]  niet mee naar boven...
[2026.00 --> 2027.02]  dat soort dingen...
[2027.02 --> 2027.68]  en...
[2027.68 --> 2029.86]  ik denk dus dat het chat GPT verhaal...
[2029.86 --> 2031.74]  en wanneer laat je een kind...
[2031.74 --> 2033.06]  praten met een bot...
[2033.06 --> 2034.06]  in welke vorm dan ook...
[2034.06 --> 2035.10]  snapchat...
[2035.10 --> 2036.58]  waar we het eerder over hebben gehad...
[2036.58 --> 2037.52]  vind ik wel een boeiende...
[2037.52 --> 2037.98]  want...
[2037.98 --> 2040.02]  op zich is het niet iets nieuws voor ons...
[2040.02 --> 2040.92]  om te zeggen...
[2040.92 --> 2041.36]  nou...
[2041.36 --> 2042.14]  sommige dingen...
[2042.14 --> 2043.44]  misschien even nog niet...
[2043.44 --> 2044.72]  daar hebben we allerlei dingen voor...
[2044.72 --> 2046.24]  zoals een kijkwijzer...
[2046.24 --> 2047.10]  maar...
[2047.10 --> 2049.10]  TikTok is gewoon hartstikke verboden...
[2049.10 --> 2050.22]  onder de dertien...
[2050.22 --> 2052.02]  dat is gewoon bij wet verboden...
[2052.02 --> 2052.82]  chat GPT...
[2052.82 --> 2054.10]  in Nederland...
[2054.10 --> 2055.06]  TikTok is...
[2055.06 --> 2055.42]  ja...
[2055.42 --> 2057.92]  en zo heeft YouTube ook een leeftijdsgrens...
[2057.92 --> 2058.92]  ingebouwd...
[2058.92 --> 2060.22]  ja...
[2060.22 --> 2061.62]  ik denk...
[2061.62 --> 2062.70]  volgens mij zijn dit soort...
[2062.70 --> 2064.66]  want dat is eigenlijk verwerking van data...
[2064.66 --> 2065.94]  en dat mag gewoon niet...
[2065.94 --> 2067.18]  door bedrijven...
[2067.18 --> 2068.74]  voor kinderen onder de dertien...
[2068.74 --> 2069.06]  oh ja...
[2069.06 --> 2069.82]  chat GPT ook...
[2069.82 --> 2071.10]  zie ik nu inderdaad...
[2071.10 --> 2071.26]  ja...
[2071.26 --> 2072.92]  dat is dan binnen de Amerikaanse context...
[2072.92 --> 2073.78]  maar ik kan me dan voorstellen...
[2073.78 --> 2074.64]  dat dat redelijk vertaalt...
[2074.64 --> 2076.48]  naar de Europese Unie...
[2076.48 --> 2077.42]  ehm...
[2077.42 --> 2077.76]  maar goed...
[2077.76 --> 2078.84]  daarna...
[2078.84 --> 2078.98]  ja...
[2078.98 --> 2079.94]  dat sluit dus ook wel redelijk aan...
[2079.94 --> 2081.54]  op die persoon die er dan bij was...
[2081.54 --> 2081.72]  eh...
[2081.72 --> 2082.94]  die avond waar jij het over hebt...
[2082.94 --> 2083.88]  die zei elf dan...
[2083.88 --> 2085.10]  maar dat komt dan een beetje...
[2085.10 --> 2086.60]  eigenlijk volg gewoon...
[2086.60 --> 2087.74]  met min twee...
[2087.74 --> 2089.06]  ongeveer wat de wet is...
[2089.06 --> 2089.56]  dan...
[2089.56 --> 2089.78]  toch?
[2090.40 --> 2090.76]  Nee...
[2090.76 --> 2092.18]  hij ging voornamelijk uit...
[2092.18 --> 2092.64]  van welk...
[2092.64 --> 2094.36]  welke type...
[2094.36 --> 2095.94]  ehm...
[2095.94 --> 2096.98]  computergebruik...
[2096.98 --> 2097.48]  is oké...
[2097.48 --> 2098.32]  voor welke leeftijd...
[2098.32 --> 2099.94]  en hoeveel schermtijd...
[2099.94 --> 2100.52]  is oké...
[2100.52 --> 2101.58]  voor welke leeftijd...
[2101.58 --> 2102.42]  en dus je...
[2102.42 --> 2103.94]  je kan dingen juridisch benaderen...
[2103.94 --> 2104.38]  dat kan...
[2104.38 --> 2105.36]  en waarschijnlijk is dat juridisch...
[2105.36 --> 2106.74]  ook wel gebaseerd op onderzoek...
[2106.74 --> 2107.50]  maar je kan ook gewoon kijken...
[2107.50 --> 2108.94]  wat is goed voor het kind...
[2108.94 --> 2109.24]  eh...
[2109.24 --> 2110.64]  dat is misschien nog een andere dimensie...
[2110.64 --> 2113.10]  en die is misschien ook iets preciezer...
[2113.10 --> 2114.18]  ehm...
[2114.18 --> 2115.26]  en eh...
[2115.26 --> 2115.92]  ja...
[2115.92 --> 2117.78]  ik had gewoon niet eerder over nagedacht...
[2117.78 --> 2118.52]  dat je zoiets kan doen...
[2118.52 --> 2120.02]  als een leeftijdslimiet opleggen...
[2120.02 --> 2121.70]  voor het gebruik van...
[2121.70 --> 2122.52]  eh...
[2122.52 --> 2122.84]  ja...
[2122.84 --> 2123.50]  in dit geval...
[2123.50 --> 2124.26]  ZGPT...
[2124.26 --> 2126.02]  en dat is dan met name gericht op...
[2126.02 --> 2127.94]  het doen van huiswerk...
[2127.94 --> 2128.70]  ehm...
[2128.70 --> 2129.02]  en...
[2129.02 --> 2129.52]  en...
[2129.52 --> 2131.88]  die spraakassistenten die in Snapchat zitten...
[2131.88 --> 2133.42]  is weer een heel ander verhaal natuurlijk...
[2133.42 --> 2133.86]  soort van...
[2133.86 --> 2135.08]  wanneer vind je dat oké...
[2135.08 --> 2136.10]  dat je kind gaat praten met...
[2136.10 --> 2136.34]  Ja...
[2136.34 --> 2137.82]  of misschien nog concreter...
[2137.82 --> 2139.04]  die Camigo...
[2139.04 --> 2140.80]  waar we het heel lang geleden een keer over hebben gehad...
[2140.80 --> 2141.66]  dat is de...
[2141.66 --> 2143.48]  op ZGPT gebaseerde...
[2143.48 --> 2144.80]  AI-assistent...
[2144.80 --> 2145.38]  binnen...
[2145.38 --> 2146.48]  Khan Academy...
[2146.48 --> 2146.64]  om...
[2146.64 --> 2148.72]  via software te leren...
[2148.72 --> 2149.06]  Ja...
[2149.06 --> 2150.86]  die is helemaal bedacht ook voor een kind...
[2150.86 --> 2152.26]  dus je hebt bijvoorbeeld een batterij...
[2152.26 --> 2152.54]  Ja...
[2152.54 --> 2153.82]  dus je mag niet te veel vragen...
[2153.82 --> 2154.72]  anders gaat de batterij leeg...
[2154.72 --> 2155.70]  vind ik al een hele leuke...
[2155.70 --> 2155.74]  hè...
[2155.74 --> 2157.34]  dus dan moet je een beetje goed opletten...
[2157.34 --> 2159.70]  wanneer je die Camigo dan inschakelt...
[2159.70 --> 2161.08]  maar ik ben dus benieuwd...
[2161.08 --> 2162.24]  of je daar dan...
[2162.24 --> 2163.26]  als ze daar dan van zeggen...
[2163.26 --> 2163.52]  nee...
[2163.52 --> 2164.16]  maar als het...
[2164.16 --> 2165.18]  Camigo is gewoon...
[2165.18 --> 2166.32]  ChatGPT op de achtergrond...
[2166.32 --> 2167.16]  met een system prompt...
[2167.16 --> 2167.94]  en een batterijtje...
[2167.94 --> 2169.28]  iets meer...
[2169.28 --> 2170.96]  mag dat dan ineens wel of zo?
[2171.14 --> 2171.72]  Ik denk het wel.
[2172.52 --> 2172.90]  Ja...
[2172.90 --> 2174.80]  maar alleen omdat er een andere system prompt is.
[2174.98 --> 2175.00]  Ja...
[2175.00 --> 2175.74]  natuurlijk...
[2175.74 --> 2176.42]  het maakt toch...
[2176.42 --> 2176.96]  maakt toch...
[2176.96 --> 2178.96]  fundamenteel andere ervaring...
[2178.96 --> 2179.70]  dan schrijven mij een werkgevrouw...
[2179.70 --> 2181.78]  Maar dan is het voor jou toch een kwestie van...
[2181.78 --> 2181.96]  eh...
[2181.96 --> 2183.76]  mocht je dat beslissen van...
[2183.76 --> 2183.78]  ik...
[2183.78 --> 2184.08]  ja...
[2184.08 --> 2185.58]  ik voel wel iets voor dat idee...
[2185.58 --> 2187.86]  om ChatGPT niet zomaar aan mijn kinderen te geven...
[2187.86 --> 2188.04]  Ja...
[2188.04 --> 2190.08]  Ik wil eerst even een system prompt zelf schrijven...
[2190.08 --> 2191.72]  dat komt ongeveer verspeld er neer natuurlijk.
[2191.86 --> 2191.88]  Ja...
[2191.88 --> 2191.90]  Ja...
[2191.90 --> 2193.20]  maar zo is het leven...
[2193.20 --> 2194.62]  een groot system prompt...
[2194.62 --> 2195.74]  waarin je moet nadenken...
[2195.74 --> 2197.02]  hoe je expliciet dingen...
[2197.02 --> 2198.12]  regels verwoordt zeg maar.
[2198.92 --> 2199.36]  Oké...
[2199.36 --> 2199.68]  eh...
[2199.68 --> 2200.84]  Ik zag nog een ander ding...
[2200.84 --> 2202.08]  Dat was namelijk dat er...
[2202.08 --> 2202.32]  eh...
[2202.32 --> 2203.68]  in San Francisco...
[2203.68 --> 2204.28]  eh...
[2204.28 --> 2206.44]  volgens mij een paar avonden geleden...
[2206.44 --> 2207.86]  er een zelfrijdende auto...
[2207.86 --> 2208.88]  in fik werd gezet...
[2208.88 --> 2210.24]  door mensen in Chinatown.
[2210.90 --> 2211.38]  En ik dacht...
[2211.38 --> 2212.70]  dit doet vast iets met wietse.
[2213.14 --> 2213.54]  Ja...
[2213.54 --> 2213.84]  Nou...
